episode_number,exact_public_title,title_rss,title_youtube,title_conflict,publish_date,duration,duration_seconds,guest_name,youtube_url,audio_enclosure_url,rss_episode_url,youtube_match_method,youtube_captions_exist,listen_notes_transcript,has_timestamps,has_quotes,has_hashtags,has_guest_links,description_chars
0124,Adding 'A Conscious Breathing Break' To Your Daily Vocabulary - Episode 0124 with Sigmar Berg,Adding 'A Conscious Breathing Break' To Your Daily Vocabulary - Episode 0124 with Sigmar Berg,Adding 'A Conscious Breathing Break' To Your Daily Vocabulary - Episode 0124 with Sigmar Berg,,2026-09-01,50:28,3028,Sigmar Berg,https://www.youtube.com/watch?v=mKL9TmXlABo,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/5683dfd5/036229cd.mp3,https://share.transistor.fm/s/5683dfd5,episode_number,yes (en),no/unknown,yes,yes,no,yes,7493
0123,"Episode 0123: Endorphins, Love, Quantum Medicine, & the Four Bodies Model with Dr. Cristine Hull","Episode 0123: Endorphins, Love, Quantum Medicine, & the Four Bodies Model with Dr. Cristine Hull","Episode 0123: Endorphins, Love, Quantum Medicine, & the Four Bodies Model with Dr. Cristine Hull",,2026-07-25,1:02:47,3767,Dr. Cristine Hull,https://www.youtube.com/watch?v=flaC3Fc2f4k,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/790527bd/4b587e0f.mp3,https://share.transistor.fm/s/790527bd,episode_number,yes (en),yes,yes,yes,no,yes,12819
,Laughing Like a Hairy Oaf - Simple and playful ways to free your real voice - with Barbara McAfee,Laughing Like a Hairy Oaf - Simple and playful ways to free your real voice - with Barbara McAfee,Laughing Like a Hairy Oaf - Simple and playful ways to free your real voice - with Barbara McAfee,,2026-06-09,1:18:25,4705,Barbara McAfee,https://www.youtube.com/watch?v=29Z75N4XJhc,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/cbcd32aa/7c7a4116.mp3,https://share.transistor.fm/s/cbcd32aa,fuzzy:1.00,auto,yes,yes,yes,no,yes,12975
,"Surrendering The Porsche - A Conversation on Masculine Drive, Spiritual Surrender & Divine Timing","Surrendering The Porsche - A Conversation on Masculine Drive, Spiritual Surrender & Divine Timing - with Tim Fraley","Surrendering The Porsche - A Conversation on Masculine Drive, Spiritual Surrender & Divine Timing",YT≠RSS,2026-05-01,1:55:00,6900,Tim Fraley,https://www.youtube.com/watch?v=2Jkcg__K7Yw,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/661cd95e/72aff81a.mp3,https://share.transistor.fm/s/661cd95e,fuzzy:0.92,auto,yes,yes,yes,yes,no,6465
,"""I'm Not A Teacher, I'm A Reminder"" David Hulse and The Path To No Path","""I'm Not A Teacher, I'm A Reminder"" David Hulse and The Path To No Path","""I'm Not A Teacher, I'm A Reminder"" David Hulse and The Path To No Path",,2026-03-14,1:19:31,4771,David Hulse,https://www.youtube.com/watch?v=PVe3Fzafsis,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/14f14aa3/22de63a2.mp3,https://share.transistor.fm/s/14f14aa3,fuzzy:1.00,auto,yes,yes,yes,no,yes,8867
,The Story Of Trey Jones – From Prison Overdose to Witness State - The Junkyard Love Podcast EP. 0119,The Story Of Trey Jones - From Prison Overdose To Witness State - 0119,The Story Of Trey Jones – From Prison Overdose to Witness State - The Junkyard Love Podcast EP. 0119,YT≠RSS,2026-02-14,1:34:36,5676,Trey Jones,https://www.youtube.com/watch?v=eNr0xYcmoYY,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/e8015cb0/bbe2b6c0.mp3,https://share.transistor.fm/s/e8015cb0,fuzzy:1.00,auto,unknown,yes,yes,no,no,7779
,"What If Mania Is a Message? | Sean Blackwell on Bipolar, Trauma & Awakening",What If Mania Is a Message? - with Sean Blackwell,"What If Mania Is a Message? | Sean Blackwell on Bipolar, Trauma & Awakening",YT≠RSS,2025-11-23,1:34:17,5657,Sean Blackwell,https://www.youtube.com/watch?v=2Vj3YHVRcNY,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/6fdf91db/ae5754c0.mp3,https://share.transistor.fm/s/6fdf91db,fuzzy:0.71,yes (en),unknown,yes,yes,no,yes,8999
0117,"The Junkyard Love Podcast E 0117 with Blake Hull - Good morning, Blakey Boy - Grace, written in code","0117 with Blake Hull - Good morning, Blakey Boy - Grace, written in code","The Junkyard Love Podcast E 0117 with Blake Hull - Good morning, Blakey Boy - Grace, written in code",YT≠RSS,2025-10-27,2:44:02,9842,Blake Hull,https://www.youtube.com/watch?v=TVWs-RgXoWw,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/c25ec112/ca153cbc.mp3,https://share.transistor.fm/s/c25ec112,episode_number,auto,unknown,yes,yes,yes,no,8045
0116,"The Junkyard Love Podcast Episode 0116 w Curtis L. Harnagel - Same Room, Different Angles","0116 with Curtis L. Harnagel - Same Room, Different Angles: Creative Direction, Communication, and Deep Listening","The Junkyard Love Podcast Episode 0116 w Curtis L. Harnagel - Same Room, Different Angles",YT≠RSS,2025-08-01,2:45:56,9956,Curtis L. Harnagel,https://www.youtube.com/watch?v=9Wkx7i9CO2U,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/4a34cfc1/e1f9beea.mp3,https://share.transistor.fm/s/4a34cfc1,episode_number,auto,unknown,no,yes,no,yes,7451
0115,"0115 with Voice Actor, Puppeteer, Storyteller, and Sound Producer Nate Begle - The Puppet's Heart","0115 with Voice Actor, Puppeteer, Storyteller, and Sound Producer Nate Begle - The Puppet's Heart","0115 with Voice Actor, Puppeteer, Storyteller, and Sound Producer Nate Begle - The Puppet's Heart",,2025-06-30,1:31:38,5498,"Voice Actor, Puppeteer, Storyteller, and Sound Producer Nate Begle",https://www.youtube.com/watch?v=avhBziFMQHk,https://2.gum.fm/op3.dev/e/pdcn.co/e/pscrb.fm/rss/p/pdst.fm/e/dts.podtrac.com/redirect.mp3/media.transistor.fm/3d3f761a/48994a53.mp3,https://share.transistor.fm/s/3d3f761a,episode_number,auto,yes,no,yes,no,yes,4549
